,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0,0.0,5.0," And we're live, Joey Diaz.","[50363, 843, 356, 821, 2107, 11, 26154, 26899, 13, 50613]",0.0,-0.31675065766780747,1.40625,0.3074255585670471
1,1,0,6.640000000000001,7.6000000000000005, My brother.,"[50695, 2011, 3956, 13, 50743]",0.0,-0.31675065766780747,1.40625,0.3074255585670471
2,2,0,7.6000000000000005,8.6, How you feeling?,"[50743, 1374, 345, 4203, 30, 50793]",0.0,-0.31675065766780747,1.40625,0.3074255585670471
3,3,0,8.6,10.6," Like I'm a new fucking man, rested.","[50793, 4525, 314, 1101, 257, 649, 9372, 582, 11, 29263, 13, 50893]",0.0,-0.31675065766780747,1.40625,0.3074255585670471
4,4,0,10.6,12.0," You look, I know rested, right?","[50893, 921, 804, 11, 314, 760, 29263, 11, 826, 30, 50963]",0.0,-0.31675065766780747,1.40625,0.3074255585670471
5,5,0,12.0,13.52," Rested, very rested.","[50963, 8324, 276, 11, 845, 29263, 13, 51039]",0.0,-0.31675065766780747,1.40625,0.3074255585670471
6,6,0,13.52,16.42, I looked at it at this as a reset button.,"[51039, 314, 3114, 379, 340, 379, 428, 355, 257, 13259, 4936, 13, 51184]",0.0,-0.31675065766780747,1.40625,0.3074255585670471
7,7,0,17.6,19.12," As soon as I came back from Vegas,","[51243, 1081, 2582, 355, 314, 1625, 736, 422, 9621, 11, 51319]",0.0,-0.31675065766780747,1.40625,0.3074255585670471
8,8,0,19.12,20.44, I knew what time it was.,"[51319, 314, 2993, 644, 640, 340, 373, 13, 51385]",0.0,-0.31675065766780747,1.40625,0.3074255585670471
9,9,0,21.48,24.2, February 29th was at 50% capacity.,"[51437, 3945, 2808, 400, 373, 379, 2026, 4, 5339, 13, 51573]",0.0,-0.31675065766780747,1.40625,0.3074255585670471
10,10,0,25.400000000000002,27.12," Yeah, we were there a week later.","[51633, 9425, 11, 356, 547, 612, 257, 1285, 1568, 13, 51719]",0.0,-0.31675065766780747,1.40625,0.3074255585670471
11,11,2712,27.12,30.6, We were there when Tommy was at the garage.,"[50363, 775, 547, 612, 618, 19919, 373, 379, 262, 15591, 13, 50537]",0.0,-0.2591956989877176,1.657243816254417,0.010320782661437988
12,12,2712,30.6,35.0," The UFC had their Vegas, the last Vegas card.","[50537, 383, 11448, 550, 511, 9621, 11, 262, 938, 9621, 2657, 13, 50757]",0.0,-0.2591956989877176,1.657243816254417,0.010320782661437988
13,13,2712,35.0,36.84, It was ghost town.,"[50757, 632, 373, 10905, 3240, 13, 50849]",0.0,-0.2591956989877176,1.657243816254417,0.010320782661437988
14,14,2712,36.84,38.760000000000005, It was not even half full.,"[50849, 632, 373, 407, 772, 2063, 1336, 13, 50945]",0.0,-0.2591956989877176,1.657243816254417,0.010320782661437988
15,15,2712,38.760000000000005,41.52," I mean, a week after you, you were at 50% capacity.","[50945, 314, 1612, 11, 257, 1285, 706, 345, 11, 345, 547, 379, 2026, 4, 5339, 13, 51083]",0.0,-0.2591956989877176,1.657243816254417,0.010320782661437988
16,16,2712,41.52,42.68, It's probably dropping less than that.,"[51083, 632, 338, 2192, 12047, 1342, 621, 326, 13, 51141]",0.0,-0.2591956989877176,1.657243816254417,0.010320782661437988
17,17,2712,42.68,43.96," 30, it was at 30.","[51141, 1542, 11, 340, 373, 379, 1542, 13, 51205]",0.0,-0.2591956989877176,1.657243816254417,0.010320782661437988
18,18,2712,43.96,45.28, But the UFC was packed.,"[51205, 887, 262, 11448, 373, 11856, 13, 51271]",0.0,-0.2591956989877176,1.657243816254417,0.010320782661437988
19,19,2712,45.28,46.120000000000005, It was packed.,"[51271, 632, 373, 11856, 13, 51313]",0.0,-0.2591956989877176,1.657243816254417,0.010320782661437988
20,20,2712,46.120000000000005,46.96, Yeah.,"[51313, 9425, 13, 51355]",0.0,-0.2591956989877176,1.657243816254417,0.010320782661437988
21,21,2712,46.96,50.32," And then I came to the comedy store March 2nd,","[51355, 843, 788, 314, 1625, 284, 262, 10997, 3650, 2805, 362, 358, 11, 51523]",0.0,-0.2591956989877176,1.657243816254417,0.010320782661437988
22,22,2712,50.32,53.52, and that's when I could smell it in the fucking air.,"[51523, 290, 326, 338, 618, 314, 714, 8508, 340, 287, 262, 9372, 1633, 13, 51683]",0.0,-0.2591956989877176,1.657243816254417,0.010320782661437988
23,23,2712,53.52,54.88," When I went into the green room,","[51683, 1649, 314, 1816, 656, 262, 4077, 2119, 11, 51751]",0.0,-0.2591956989877176,1.657243816254417,0.010320782661437988
24,24,2712,54.88,57.0," when I saw all those people in the green room,","[51751, 618, 314, 2497, 477, 883, 661, 287, 262, 4077, 2119, 11, 51857]",0.0,-0.2591956989877176,1.657243816254417,0.010320782661437988
25,25,5700,57.0,60.08, I basically had a fucking panic attack.,"[50363, 314, 6209, 550, 257, 9372, 13619, 1368, 13, 50517]",0.0,-0.2471717696592032,1.8382838283828382,0.0031374520622193813
26,26,5700,60.08,60.92, Yeah.,"[50517, 9425, 13, 50559]",0.0,-0.2471717696592032,1.8382838283828382,0.0031374520622193813
27,27,5700,60.92,61.92, And I went right to the door.,"[50559, 843, 314, 1816, 826, 284, 262, 3420, 13, 50609]",0.0,-0.2471717696592032,1.8382838283828382,0.0031374520622193813
28,28,5700,61.92,65.12, There's a street door in the back of the Eddie Murphy door.,"[50609, 1318, 338, 257, 4675, 3420, 287, 262, 736, 286, 262, 19478, 14424, 3420, 13, 50769]",0.0,-0.2471717696592032,1.8382838283828382,0.0031374520622193813
29,29,5700,65.12,66.72," If he comes back, that's what we'll call it,","[50769, 1002, 339, 2058, 736, 11, 326, 338, 644, 356, 1183, 869, 340, 11, 50849]",0.0,-0.2471717696592032,1.8382838283828382,0.0031374520622193813
30,30,5700,66.72,68.52, the Eddie Murphy door.,"[50849, 262, 19478, 14424, 3420, 13, 50939]",0.0,-0.2471717696592032,1.8382838283828382,0.0031374520622193813
31,31,5700,68.52,70.32, This house is gonna get in and out of there.,"[50939, 770, 2156, 318, 8066, 651, 287, 290, 503, 286, 612, 13, 51029]",0.0,-0.2471717696592032,1.8382838283828382,0.0031374520622193813
32,32,5700,70.32,71.16," Yeah, they're gonna have to.","[51029, 9425, 11, 484, 821, 8066, 423, 284, 13, 51071]",0.0,-0.2471717696592032,1.8382838283828382,0.0031374520622193813
33,33,5700,71.16,72.36, There's no other guards to get in there.,"[51071, 1318, 338, 645, 584, 10942, 284, 651, 287, 612, 13, 51131]",0.0,-0.2471717696592032,1.8382838283828382,0.0031374520622193813
34,34,5700,72.36,76.56," So I went to the Eddie Murphy door, and I stayed there.","[51131, 1406, 314, 1816, 284, 262, 19478, 14424, 3420, 11, 290, 314, 9658, 612, 13, 51341]",0.0,-0.2471717696592032,1.8382838283828382,0.0031374520622193813
35,35,5700,76.56,78.48," And you could just see people in the audience,","[51341, 843, 345, 714, 655, 766, 661, 287, 262, 5386, 11, 51437]",0.0,-0.2471717696592032,1.8382838283828382,0.0031374520622193813
36,36,5700,78.48,79.76, like nothing was going on.,"[51437, 588, 2147, 373, 1016, 319, 13, 51501]",0.0,-0.2471717696592032,1.8382838283828382,0.0031374520622193813
37,37,5700,79.76,84.2," And I just got, I just got, like I was shattered by Saturday.","[51501, 843, 314, 655, 1392, 11, 314, 655, 1392, 11, 588, 314, 373, 23273, 416, 3909, 13, 51723]",0.0,-0.2471717696592032,1.8382838283828382,0.0031374520622193813
38,38,5700,84.2,85.88," And remember, I was supposed to be in New York","[51723, 843, 3505, 11, 314, 373, 4385, 284, 307, 287, 968, 1971, 51807]",0.0,-0.2471717696592032,1.8382838283828382,0.0031374520622193813
39,39,8588,85.88,87.67999999999999, for St. Patty's Day.,"[50363, 329, 520, 13, 42417, 338, 3596, 13, 50453]",0.0,-0.20103477970246345,1.6228956228956228,0.007127711083739996
40,40,8588,87.67999999999999,90.16," And the Monday before, I was supposed to be in New York","[50453, 843, 262, 3321, 878, 11, 314, 373, 4385, 284, 307, 287, 968, 1971, 50577]",0.0,-0.20103477970246345,1.6228956228956228,0.007127711083739996
41,41,8588,90.16,94.64," the 16th and 17th, with a show at NIAC on the 12th.","[50577, 262, 1467, 400, 290, 1596, 400, 11, 351, 257, 905, 379, 24947, 2246, 319, 262, 1105, 400, 13, 50801]",0.0,-0.20103477970246345,1.6228956228956228,0.007127711083739996
