,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0,0.0,1.8," You come in here moving in shaking, man.","[50363, 921, 1282, 287, 994, 3867, 287, 17275, 11, 582, 13, 50453]",0.0,-0.22719736208860902,1.7712418300653594,0.21014854311943054
1,1,0,1.8,2.88, You come in here making deals.,"[50453, 921, 1282, 287, 994, 1642, 7529, 13, 50507]",0.0,-0.22719736208860902,1.7712418300653594,0.21014854311943054
2,2,0,2.88,4.2, You're on the phone already.,"[50507, 921, 821, 319, 262, 3072, 1541, 13, 50573]",0.0,-0.22719736208860902,1.7712418300653594,0.21014854311943054
3,3,0,4.2,5.04," Gotta do it, Jeff.","[50573, 402, 12375, 466, 340, 11, 5502, 13, 50615]",0.0,-0.22719736208860902,1.7712418300653594,0.21014854311943054
4,4,0,5.04,6.12, You're always moving.,"[50615, 921, 821, 1464, 3867, 13, 50669]",0.0,-0.22719736208860902,1.7712418300653594,0.21014854311943054
5,5,0,6.12,9.64," I mean, is there anything else to do?","[50669, 314, 1612, 11, 318, 612, 1997, 2073, 284, 466, 30, 50845]",0.0,-0.22719736208860902,1.7712418300653594,0.21014854311943054
6,6,0,9.64,11.84, Is there anything else to do with style?,"[50845, 1148, 612, 1997, 2073, 284, 466, 351, 3918, 30, 50955]",0.0,-0.22719736208860902,1.7712418300653594,0.21014854311943054
7,7,0,11.84,12.84, I just wanna get ahead.,"[50955, 314, 655, 18869, 651, 4058, 13, 51005]",0.0,-0.22719736208860902,1.7712418300653594,0.21014854311943054
8,8,0,12.84,15.6," No, no, especially not now, man.","[51005, 1400, 11, 645, 11, 2592, 407, 783, 11, 582, 13, 51143]",0.0,-0.22719736208860902,1.7712418300653594,0.21014854311943054
9,9,0,15.6,16.64, Hunter's Hunt.,"[51143, 9055, 338, 12937, 13, 51195]",0.0,-0.22719736208860902,1.7712418300653594,0.21014854311943054
10,10,0,16.64,17.48, Yes.,"[51195, 3363, 13, 51237]",0.0,-0.22719736208860902,1.7712418300653594,0.21014854311943054
11,11,0,17.48,18.64, Those that don't get ate.,"[51237, 5845, 326, 836, 470, 651, 15063, 13, 51295]",0.0,-0.22719736208860902,1.7712418300653594,0.21014854311943054
12,12,0,18.64,20.0," The last time you were here, man,","[51295, 383, 938, 640, 345, 547, 994, 11, 582, 11, 51363]",0.0,-0.22719736208860902,1.7712418300653594,0.21014854311943054
13,13,0,20.0,21.8, that was one of the most inspirational podcasts,"[51363, 326, 373, 530, 286, 262, 749, 40840, 31969, 51453]",0.0,-0.22719736208860902,1.7712418300653594,0.21014854311943054
14,14,0,21.8,22.64, I've ever done.,"[51453, 314, 1053, 1683, 1760, 13, 51495]",0.0,-0.22719736208860902,1.7712418300653594,0.21014854311943054
15,15,0,22.64,23.48, I left that.,"[51495, 314, 1364, 326, 13, 51537]",0.0,-0.22719736208860902,1.7712418300653594,0.21014854311943054
16,16,0,23.48,26.32, I literally had a shift in the way I was looking at things.,"[51537, 314, 7360, 550, 257, 6482, 287, 262, 835, 314, 373, 2045, 379, 1243, 13, 51679]",0.0,-0.22719736208860902,1.7712418300653594,0.21014854311943054
17,17,0,26.32,29.2, Like you put an extra gear in my step that day.,"[51679, 4525, 345, 1234, 281, 3131, 7733, 287, 616, 2239, 326, 1110, 13, 51823]",0.0,-0.22719736208860902,1.7712418300653594,0.21014854311943054
18,18,2920,29.2,32.72," I was like, oh, I love being around people like you.","[50363, 314, 373, 588, 11, 11752, 11, 314, 1842, 852, 1088, 661, 588, 345, 13, 50539]",0.0,-0.19128837304956772,1.756,0.0012076771818101406
19,19,2920,32.72,33.56, My guy.,"[50539, 2011, 3516, 13, 50581]",0.0,-0.19128837304956772,1.756,0.0012076771818101406
20,20,2920,33.56,35.2," People around you, people like you,","[50581, 4380, 1088, 345, 11, 661, 588, 345, 11, 50663]",0.0,-0.19128837304956772,1.756,0.0012076771818101406
21,21,2920,35.2,37.96, you're going for shit all the time.,"[50663, 345, 821, 1016, 329, 7510, 477, 262, 640, 13, 50801]",0.0,-0.19128837304956772,1.756,0.0012076771818101406
22,22,2920,37.96,39.28, And it's infectious.,"[50801, 843, 340, 338, 25246, 13, 50867]",0.0,-0.19128837304956772,1.756,0.0012076771818101406
23,23,2920,39.28,42.08, It's like you give off energy.,"[50867, 632, 338, 588, 345, 1577, 572, 2568, 13, 51007]",0.0,-0.19128837304956772,1.756,0.0012076771818101406
24,24,2920,42.08,43.08," And when people are around you,","[51007, 843, 618, 661, 389, 1088, 345, 11, 51057]",0.0,-0.19128837304956772,1.756,0.0012076771818101406
25,25,2920,43.08,44.879999999999995, they wanna get shit done too.,"[51057, 484, 18869, 651, 7510, 1760, 1165, 13, 51147]",0.0,-0.19128837304956772,1.756,0.0012076771818101406
26,26,2920,44.879999999999995,45.8, There's contagious.,"[51147, 1318, 338, 43944, 13, 51193]",0.0,-0.19128837304956772,1.756,0.0012076771818101406
27,27,2920,45.8,46.64, Yes.,"[51193, 3363, 13, 51235]",0.0,-0.19128837304956772,1.756,0.0012076771818101406
28,28,2920,46.64,47.480000000000004, It's contagious.,"[51235, 632, 338, 43944, 13, 51277]",0.0,-0.19128837304956772,1.756,0.0012076771818101406
29,29,2920,47.480000000000004,48.480000000000004, It's not just me putting it out.,"[51277, 632, 338, 407, 655, 502, 5137, 340, 503, 13, 51327]",0.0,-0.19128837304956772,1.756,0.0012076771818101406
30,30,2920,48.480000000000004,50.519999999999996," I think that the last time I was here,","[51327, 314, 892, 326, 262, 938, 640, 314, 373, 994, 11, 51429]",0.0,-0.19128837304956772,1.756,0.0012076771818101406
31,31,2920,50.519999999999996,53.16, our conversation was such a great conversation,"[51429, 674, 5273, 373, 884, 257, 1049, 5273, 51561]",0.0,-0.19128837304956772,1.756,0.0012076771818101406
