,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0,0.0,4.0," Joe Rogan podcast, check it out.","[50363, 5689, 8041, 272, 9905, 11, 2198, 340, 503, 13, 50563]",0.0,-0.3634724426269531,1.6352941176470588,0.2790943682193756
1,1,0,4.0,6.0, The Joe Rogan Experience.,"[50563, 383, 5689, 8041, 272, 16386, 13, 50663]",0.0,-0.3634724426269531,1.6352941176470588,0.2790943682193756
2,2,0,6.0,9.0," Train by day, Joe Rogan podcast by night.","[50663, 16835, 416, 1110, 11, 5689, 8041, 272, 9905, 416, 1755, 13, 50813]",0.0,-0.3634724426269531,1.6352941176470588,0.2790943682193756
3,3,0,9.0,10.0, All day.,"[50813, 1439, 1110, 13, 50863]",0.0,-0.3634724426269531,1.6352941176470588,0.2790943682193756
4,4,0,10.0,16.5," So, friend, giant boxing fan, he sends me this text message.","[50863, 1406, 11, 1545, 11, 6175, 21576, 4336, 11, 339, 12800, 502, 428, 2420, 3275, 13, 51188]",0.0,-0.3634724426269531,1.6352941176470588,0.2790943682193756
5,5,0,16.5,19.0," He goes, dude, check this shit out.","[51188, 679, 2925, 11, 18396, 11, 2198, 428, 7510, 503, 13, 51313]",0.0,-0.3634724426269531,1.6352941176470588,0.2790943682193756
6,6,0,19.0,22.0," And it's you, training with Hot Fail Cordaro.","[51313, 843, 340, 338, 345, 11, 3047, 351, 6964, 18448, 21119, 12022, 13, 51463]",0.0,-0.3634724426269531,1.6352941176470588,0.2790943682193756
7,7,0,22.0,26.0," And I remember looking at it and going, oh shit, what happened?","[51463, 843, 314, 3505, 2045, 379, 340, 290, 1016, 11, 11752, 7510, 11, 644, 3022, 30, 51663]",0.0,-0.3634724426269531,1.6352941176470588,0.2790943682193756
8,8,0,26.0,27.0, What happened?,"[51663, 1867, 3022, 30, 51713]",0.0,-0.3634724426269531,1.6352941176470588,0.2790943682193756
9,9,0,27.0,29.98," Because the last time you were in here, you were talking about how you didn't want to","[51713, 4362, 262, 938, 640, 345, 547, 287, 994, 11, 345, 547, 3375, 546, 703, 345, 1422, 470, 765, 284, 51862]",0.0,-0.3634724426269531,1.6352941176470588,0.2790943682193756
