,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0,0.0,3.8000000000000003, What possible ideas do you have for the whole human species ends?,"[50363, 1867, 1744, 4213, 466, 345, 423, 329, 262, 2187, 1692, 4693, 5645, 30, 50553]",0.0,-0.22117224527061533,1.5528455284552845,0.023758232593536377
1,1,0,3.84,4.12, Sure.,"[50555, 10889, 13, 50569]",0.0,-0.22117224527061533,1.5528455284552845,0.023758232593536377
2,2,0,4.24,7.16, So I think the most obvious way to me is wireheading.,"[50575, 1406, 314, 892, 262, 749, 3489, 835, 284, 502, 318, 6503, 33878, 13, 50721]",0.0,-0.22117224527061533,1.5528455284552845,0.023758232593536377
3,3,0,8.120000000000001,9.76, We end up amusing ourselves to death.,"[50769, 775, 886, 510, 28297, 6731, 284, 1918, 13, 50851]",0.0,-0.22117224527061533,1.5528455284552845,0.023758232593536377
4,4,0,11.040000000000001,15.6, We end up all staring at that infinite tick-tock and forgetting to eat.,"[50915, 775, 886, 510, 477, 16143, 379, 326, 15541, 4378, 12, 83, 735, 290, 32012, 284, 4483, 13, 51143]",0.0,-0.22117224527061533,1.5528455284552845,0.023758232593536377
5,5,0,17.36,19.28, Maybe maybe it's even more benign than this.,"[51231, 6674, 3863, 340, 338, 772, 517, 32293, 621, 428, 13, 51327]",0.0,-0.22117224527061533,1.5528455284552845,0.023758232593536377
6,6,0,19.28,21.240000000000002, Maybe we all just stop reproducing.,"[51327, 6674, 356, 477, 655, 2245, 8186, 2259, 13, 51425]",0.0,-0.22117224527061533,1.5528455284552845,0.023758232593536377
7,7,0,22.88,27.240000000000002," Now, to be fair, it's probably hard to get all of humanity.","[51507, 2735, 11, 284, 307, 3148, 11, 340, 338, 2192, 1327, 284, 651, 477, 286, 9265, 13, 51725]",0.0,-0.22117224527061533,1.5528455284552845,0.023758232593536377
8,8,0,27.32,27.72, Yeah.,"[51729, 9425, 13, 51749]",0.0,-0.22117224527061533,1.5528455284552845,0.023758232593536377
9,9,2772,27.959999999999997,30.599999999999998, The interesting thing about humanity is the diversity in it.,"[50375, 383, 3499, 1517, 546, 9265, 318, 262, 9573, 287, 340, 13, 50507]",0.0,-0.35179469382116035,1.663003663003663,0.002535013249143958
10,10,2772,30.599999999999998,31.04," Oh, yeah.","[50507, 3966, 11, 10194, 13, 50529]",0.0,-0.35179469382116035,1.663003663003663,0.002535013249143958
11,11,2772,31.04,32.44, Organisms in general.,"[50529, 7221, 6583, 287, 2276, 13, 50599]",0.0,-0.35179469382116035,1.663003663003663,0.002535013249143958
