,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0,0.0,7.12," If you really want to give a character an obstacle to overcome a need, I mean the base one is life and death.","[50363, 1002, 345, 1107, 765, 284, 1577, 257, 2095, 281, 22007, 284, 10980, 257, 761, 11, 314, 1612, 262, 2779, 530, 318, 1204, 290, 1918, 13, 50719]",0.0,-0.19695809182156337,1.5528455284552845,0.052834659814834595
1,1,0,10.0,15.52," The following is a conversation with Matthew McConaughey, a legendary Oscar-winning actor","[50863, 383, 1708, 318, 257, 5273, 351, 9308, 1982, 3103, 7493, 20342, 11, 257, 13273, 15694, 12, 14463, 8674, 51139]",0.0,-0.19695809182156337,1.5528455284552845,0.052834659814834595
2,2,0,15.52,21.52," and one of the most unique, charismatic, and inspiring humans and Texans who walk this earth.","[51139, 290, 530, 286, 262, 749, 3748, 11, 34996, 11, 290, 20886, 5384, 290, 21012, 508, 2513, 428, 4534, 13, 51439]",0.0,-0.19695809182156337,1.5528455284552845,0.052834659814834595
3,3,0,22.240000000000002,28.0," He starred in films and shows loved by me and millions of others including Interstellar,","[51475, 679, 31636, 287, 7328, 290, 2523, 6151, 416, 502, 290, 5242, 286, 1854, 1390, 4225, 28732, 11, 51763]",0.0,-0.19695809182156337,1.5528455284552845,0.052834659814834595
4,4,2800,28.0,34.72," Days Not Confused, Dallas Bias Club, Killer Joe, Mud, True Detective, and Soon, a spin-off","[50363, 12579, 1892, 7326, 1484, 11, 8533, 347, 4448, 6289, 11, 19900, 5689, 11, 32878, 11, 6407, 20220, 11, 290, 15894, 11, 257, 7906, 12, 2364, 50699]",0.0,-0.18551302480173634,1.5103734439834025,0.01189650408923626
5,5,2800,34.72,41.68," of Yellowstone. Offscreen, his words carry wisdom and power in his book called Green Lights","[50699, 286, 47257, 13, 3242, 9612, 11, 465, 2456, 3283, 11501, 290, 1176, 287, 465, 1492, 1444, 3469, 22661, 51047]",0.0,-0.18551302480173634,1.5103734439834025,0.01189650408923626
6,6,2800,41.68,47.44," in his new video course called Road Trip, where Matthew expands in the philosophy in his book","[51047, 287, 465, 649, 2008, 1781, 1444, 5567, 18383, 11, 810, 9308, 27513, 287, 262, 8876, 287, 465, 1492, 51335]",0.0,-0.18551302480173634,1.5103734439834025,0.01189650408923626
7,7,2800,47.44,53.68," and shows how to apply to your life in order to find more happiness, success, and love.","[51335, 290, 2523, 703, 284, 4174, 284, 534, 1204, 287, 1502, 284, 1064, 517, 12157, 11, 1943, 11, 290, 1842, 13, 51647]",0.0,-0.18551302480173634,1.5103734439834025,0.01189650408923626
8,8,5368,54.24,59.519999999999996, This is the Lex Friedman podcast to support it. Please check out our sponsors in the description,"[50391, 770, 318, 262, 17210, 25865, 9905, 284, 1104, 340, 13, 4222, 2198, 503, 674, 18073, 287, 262, 6764, 50655]",0.0,-0.16844439852064935,1.4088669950738917,0.39002594351768494
9,9,5368,60.08,67.68," and now dear friends, here's Matthew McConaughey. Let's start with love. Your parents had a","[50683, 290, 783, 13674, 2460, 11, 994, 338, 9308, 1982, 3103, 7493, 20342, 13, 3914, 338, 923, 351, 1842, 13, 3406, 3397, 550, 257, 51063]",0.0,-0.16844439852064935,1.4088669950738917,0.39002594351768494
10,10,5368,67.68,74.24," complicated love story. Divorce twice, marry three times. What did you learn about love when your","[51063, 8253, 1842, 1621, 13, 4777, 8387, 5403, 11, 12479, 1115, 1661, 13, 1867, 750, 345, 2193, 546, 1842, 618, 534, 51391]",0.0,-0.16844439852064935,1.4088669950738917,0.39002594351768494
11,11,7424,74.32,83.83999999999999," mom and dad and their love story? That it's messy, that it takes work,","[50367, 1995, 290, 9955, 290, 511, 1842, 1621, 30, 1320, 340, 338, 24097, 11, 326, 340, 2753, 670, 11, 50843]",0.0,-0.19232637232000177,1.3394495412844036,0.0029181044083088636
