,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0,0.0,4.0," Joe Rogan, why can't I check it out?","[50363, 5689, 8041, 272, 11, 1521, 460, 470, 314, 2198, 340, 503, 30, 50563]",0.0,-0.3755267688206264,1.5,0.3661496639251709
1,1,0,4.0,6.0," Pichot Rogan, experience.","[50563, 350, 488, 313, 8041, 272, 11, 1998, 13, 50663]",0.0,-0.3755267688206264,1.5,0.3661496639251709
2,2,0,6.0,10.0, Train by day Joe Rogan podcast by night! All day!,"[50663, 16835, 416, 1110, 5689, 8041, 272, 9905, 416, 1755, 0, 1439, 1110, 0, 50863]",0.0,-0.3755267688206264,1.5,0.3661496639251709
3,3,0,10.0,14.0, Hello Mr. West.,"[50863, 18435, 1770, 13, 2688, 13, 51063]",0.0,-0.3755267688206264,1.5,0.3661496639251709
4,4,0,14.0,16.0, What's up? What's going on man? Good to see you.,"[51063, 1867, 338, 510, 30, 1867, 338, 1016, 319, 582, 30, 4599, 284, 766, 345, 13, 51163]",0.0,-0.3755267688206264,1.5,0.3661496639251709
5,5,0,16.0,18.0, Good to see you too. We finally did it. We're here.,"[51163, 4599, 284, 766, 345, 1165, 13, 775, 3443, 750, 340, 13, 775, 821, 994, 13, 51263]",0.0,-0.3755267688206264,1.5,0.3661496639251709
6,6,0,18.0,20.0, We made it happen. We ended building.,"[51263, 775, 925, 340, 1645, 13, 775, 4444, 2615, 13, 51363]",0.0,-0.3755267688206264,1.5,0.3661496639251709
7,7,0,20.0,22.0, Yes sir.,"[51363, 3363, 15967, 13, 51463]",0.0,-0.3755267688206264,1.5,0.3661496639251709
8,8,0,22.0,26.0," So, what are you doing? You running for president?","[51463, 1406, 11, 644, 389, 345, 1804, 30, 921, 2491, 329, 1893, 30, 51663]",0.0,-0.3755267688206264,1.5,0.3661496639251709
9,9,2600,26.0,30.0, Yes. What made you decide to do that? Aren't you busy enough?,"[50363, 3363, 13, 1867, 925, 345, 5409, 284, 466, 326, 30, 9843, 470, 345, 8179, 1576, 30, 50563]",0.0,-0.1443325491512523,1.3727272727272728,0.12058170139789581
10,10,2600,30.0,34.0, Clothing company? Successful rapper?,"[50563, 48921, 1664, 30, 16282, 913, 25670, 30, 50763]",0.0,-0.1443325491512523,1.3727272727272728,0.12058170139789581
11,11,2600,34.0,36.0, Family man?,"[50763, 7884, 582, 30, 50863]",0.0,-0.1443325491512523,1.3727272727272728,0.12058170139789581
12,12,2600,36.0,40.0, It was something that God put on my heart back in 2015.,"[50863, 632, 373, 1223, 326, 1793, 1234, 319, 616, 2612, 736, 287, 1853, 13, 51063]",0.0,-0.1443325491512523,1.3727272727272728,0.12058170139789581
13,13,2600,40.0,46.0," A few days before the MTV awards, it just hit me in the shower.","[51063, 317, 1178, 1528, 878, 262, 31214, 13304, 11, 340, 655, 2277, 502, 287, 262, 14643, 13, 51363]",0.0,-0.1443325491512523,1.3727272727272728,0.12058170139789581
14,14,2600,46.0,52.0," And when I first thought of it, I just started like laughing to myself.","[51363, 843, 618, 314, 717, 1807, 286, 340, 11, 314, 655, 2067, 588, 14376, 284, 3589, 13, 51663]",0.0,-0.1443325491512523,1.3727272727272728,0.12058170139789581
15,15,5200,52.0,58.0," And it, like all this like joy came over my, over my body.","[50363, 843, 340, 11, 588, 477, 428, 588, 8716, 1625, 625, 616, 11, 625, 616, 1767, 13, 50663]",0.0,-0.23736446782162315,1.4946808510638299,0.07387666404247284
16,16,5200,58.0,62.0," Just through my soul. And I could just, I just felt that energy.","[50663, 2329, 832, 616, 5848, 13, 843, 314, 714, 655, 11, 314, 655, 2936, 326, 2568, 13, 50863]",0.0,-0.23736446782162315,1.4946808510638299,0.07387666404247284
17,17,5200,62.0,70.0," I felt that spirit. So then two days later, I accepted the Michael Jackson Video Vanguard Awards at the","[50863, 314, 2936, 326, 4437, 13, 1406, 788, 734, 1528, 1568, 11, 314, 6292, 262, 3899, 6612, 7623, 31507, 15434, 379, 262, 51263]",0.0,-0.23736446782162315,1.4946808510638299,0.07387666404247284
18,18,5200,70.0,74.0," MTV Awards. And I instead of performing, you know, my","[51263, 31214, 15434, 13, 843, 314, 2427, 286, 9489, 11, 345, 760, 11, 616, 51463]",0.0,-0.23736446782162315,1.4946808510638299,0.07387666404247284
19,19,7400,74.0,82.0," array of hit songs, you know, I gave just my perspective on award shows.","[50363, 7177, 286, 2277, 7259, 11, 345, 760, 11, 314, 2921, 655, 616, 6650, 319, 5764, 2523, 13, 50763]",0.0,-0.13735693434010382,1.5721153846153846,0.07005281746387482
