,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0,0.0,21.56, I'm happy to be here.,"[50363, 314, 1101, 3772, 284, 307, 994, 13, 51441]",0.0,-0.43828167634851795,1.2868852459016393,0.3866344094276428
1,1,0,21.56,23.48, You have a fantastic voice.,"[51441, 921, 423, 257, 9623, 3809, 13, 51537]",0.0,-0.43828167634851795,1.2868852459016393,0.3866344094276428
2,2,0,23.48,25.52," Not just a singing voice, but you're talking voice.","[51537, 1892, 655, 257, 13777, 3809, 11, 475, 345, 821, 3375, 3809, 13, 51639]",0.0,-0.43828167634851795,1.2868852459016393,0.3866344094276428
3,3,0,25.52,26.52, It's very unusual.,"[51639, 632, 338, 845, 8468, 13, 51689]",0.0,-0.43828167634851795,1.2868852459016393,0.3866344094276428
4,4,0,26.52,28.92, It makes you step back a little bit.,"[51689, 632, 1838, 345, 2239, 736, 257, 1310, 1643, 13, 51809]",0.0,-0.43828167634851795,1.2868852459016393,0.3866344094276428
5,5,2892,28.92,32.32," I've actually recently, I was walking around in Boston.","[50363, 314, 1053, 1682, 2904, 11, 314, 373, 6155, 1088, 287, 6182, 13, 50533]",0.0,-0.1794466672243772,1.8566308243727598,0.5631165504455566
6,6,2892,32.32,35.52," I went to a museum, and this older man walked up to me.","[50533, 314, 1816, 284, 257, 13257, 11, 290, 428, 4697, 582, 6807, 510, 284, 502, 13, 50693]",0.0,-0.1794466672243772,1.8566308243727598,0.5631165504455566
7,7,2892,35.52,36.800000000000004, I had no idea who I was.,"[50693, 314, 550, 645, 2126, 508, 314, 373, 13, 50757]",0.0,-0.1794466672243772,1.8566308243727598,0.5631165504455566
8,8,2892,36.800000000000004,39.24," He was just enjoying the art also in the museum,","[50757, 679, 373, 655, 13226, 262, 1242, 635, 287, 262, 13257, 11, 50879]",0.0,-0.1794466672243772,1.8566308243727598,0.5631165504455566
9,9,2892,39.24,42.32, and started talking to me forever about my voice.,"[50879, 290, 2067, 3375, 284, 502, 8097, 546, 616, 3809, 13, 51033]",0.0,-0.1794466672243772,1.8566308243727598,0.5631165504455566
10,10,2892,42.32,45.8," And then there was a college, some sort of trip","[51033, 843, 788, 612, 373, 257, 4152, 11, 617, 3297, 286, 5296, 51207]",0.0,-0.1794466672243772,1.8566308243727598,0.5631165504455566
11,11,2892,45.8,48.72," to the museum, and then everybody started freaking out.","[51207, 284, 262, 13257, 11, 290, 788, 7288, 2067, 35607, 503, 13, 51353]",0.0,-0.1794466672243772,1.8566308243727598,0.5631165504455566
12,12,2892,48.72,50.84, And it was so cool just to have someone stop me,"[51353, 843, 340, 373, 523, 3608, 655, 284, 423, 2130, 2245, 502, 51459]",0.0,-0.1794466672243772,1.8566308243727598,0.5631165504455566
13,13,2892,50.84,52.72," about my speaking voice, because that had never happened","[51459, 546, 616, 5486, 3809, 11, 780, 326, 550, 1239, 3022, 51553]",0.0,-0.1794466672243772,1.8566308243727598,0.5631165504455566
14,14,2892,52.72,54.64," to me before, I think, because I was turned around,","[51553, 284, 502, 878, 11, 314, 892, 11, 780, 314, 373, 2900, 1088, 11, 51649]",0.0,-0.1794466672243772,1.8566308243727598,0.5631165504455566
15,15,2892,54.64,55.84, and I had the mullet.,"[51649, 290, 314, 550, 262, 35971, 1616, 13, 51709]",0.0,-0.1794466672243772,1.8566308243727598,0.5631165504455566
16,16,5584,55.84,57.68000000000001, So I could have been anybody.,"[50363, 1406, 314, 714, 423, 587, 9599, 13, 50455]",0.0,-0.19121099618765025,1.7244094488188977,0.09863674640655518
17,17,5584,57.68000000000001,59.84, I could have been anyone.,"[50455, 314, 714, 423, 587, 2687, 13, 50563]",0.0,-0.19121099618765025,1.7244094488188977,0.09863674640655518
18,18,5584,59.84,61.440000000000005, It's a heavy voice.,"[50563, 632, 338, 257, 4334, 3809, 13, 50643]",0.0,-0.19121099618765025,1.7244094488188977,0.09863674640655518
19,19,5584,61.440000000000005,62.64, It's a heavy voice.,"[50643, 632, 338, 257, 4334, 3809, 13, 50703]",0.0,-0.19121099618765025,1.7244094488188977,0.09863674640655518
20,20,5584,62.64,64.44," You didn't always have a heavy voice, though.","[50703, 921, 1422, 470, 1464, 423, 257, 4334, 3809, 11, 996, 13, 50793]",0.0,-0.19121099618765025,1.7244094488188977,0.09863674640655518
21,21,5584,64.44,67.36," Like when my kids love Hannah Montana, by the way.","[50793, 4525, 618, 616, 3988, 1842, 26013, 18311, 11, 416, 262, 835, 13, 50939]",0.0,-0.19121099618765025,1.7244094488188977,0.09863674640655518
22,22,5584,67.36,70.92," So when I would watch, your voice was different.","[50939, 1406, 618, 314, 561, 2342, 11, 534, 3809, 373, 1180, 13, 51117]",0.0,-0.19121099618765025,1.7244094488188977,0.09863674640655518
