,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0,0.0,2.4, Give you my ducks a brain,"[50363, 13786, 345, 616, 39694, 257, 3632, 50483]",0.0,-0.585386679206096,1.3962264150943395,0.1827487051486969
1,1,0,5.88,8.040000000000001, That's my everybody's too high song,"[50657, 1320, 338, 616, 7288, 338, 1165, 1029, 3496, 50765]",0.0,-0.585386679206096,1.3962264150943395,0.1827487051486969
2,2,0,13.84,15.84, When it's like oh no,"[51055, 1649, 340, 338, 588, 11752, 645, 51155]",0.0,-0.585386679206096,1.3962264150943395,0.1827487051486969
3,3,0,15.88,17.88, This guy's fucking high,"[51157, 770, 3516, 338, 9372, 1029, 51257]",0.0,-0.585386679206096,1.3962264150943395,0.1827487051486969
4,4,0,23.28,26.32, And we're rolling what's up brother? How are you?,"[51527, 843, 356, 821, 10708, 644, 338, 510, 3956, 30, 1374, 389, 345, 30, 51679]",0.0,-0.585386679206096,1.3962264150943395,0.1827487051486969
5,5,0,26.32,29.64," Got you in here, man. You know, I'm finally I'm finally here. I'm","[51679, 11853, 345, 287, 994, 11, 582, 13, 921, 760, 11, 314, 1101, 3443, 314, 1101, 3443, 994, 13, 314, 1101, 51845]",0.0,-0.585386679206096,1.3962264150943395,0.1827487051486969
6,6,3000,30.0,35.14," Really to be light, huh? This is your shit. Yeah, cool. All right. Cheers sir. Why not pleasure","[50363, 16123, 284, 307, 1657, 11, 24926, 30, 770, 318, 534, 7510, 13, 9425, 11, 3608, 13, 1439, 826, 13, 2580, 364, 15967, 13, 4162, 407, 9476, 50620]",0.0,-0.4089047540094435,1.4724770642201834,0.024068133905529976
7,7,3000,35.94,40.08," Also, precursor. I haven't slept. I know we haven't slept around mushrooms","[50660, 4418, 11, 34826, 13, 314, 4398, 470, 21256, 13, 314, 760, 356, 4398, 470, 21256, 1088, 23452, 50867]",0.0,-0.4089047540094435,1.4724770642201834,0.024068133905529976
8,8,3000,42.6,44.6, Let's roll,"[50993, 3914, 338, 4836, 51093]",0.0,-0.4089047540094435,1.4724770642201834,0.024068133905529976
9,9,3000,44.92,46.92," Yeah, fuck it. We'll do it live","[51109, 9425, 11, 5089, 340, 13, 775, 1183, 466, 340, 2107, 51209]",0.0,-0.4089047540094435,1.4724770642201834,0.024068133905529976
10,10,3000,50.92,57.72," Why you taught man, why are you living Utah? What's that about? I have no idea. Are you from there? No, sir","[51409, 4162, 345, 7817, 582, 11, 1521, 389, 345, 2877, 10202, 30, 1867, 338, 326, 546, 30, 314, 423, 645, 2126, 13, 4231, 345, 422, 612, 30, 1400, 11, 15967, 51749]",0.0,-0.4089047540094435,1.4724770642201834,0.024068133905529976
11,11,5772,57.8,64.92," I was born in Syracuse, New York. It is absolutely something really love it. It's got a good vibe, too because","[50367, 314, 373, 4642, 287, 29141, 11, 968, 1971, 13, 632, 318, 5543, 1223, 1107, 1842, 340, 13, 632, 338, 1392, 257, 922, 27426, 11, 1165, 780, 50723]",0.0,-0.29526745340098504,1.685823754789272,0.007509094662964344
12,12,5772,66.12,69.96, It's this it's almost like Utah is a secret because everybody's scared of the Mormons,"[50783, 632, 338, 428, 340, 338, 2048, 588, 10202, 318, 257, 3200, 780, 7288, 338, 12008, 286, 262, 33003, 50975]",0.0,-0.29526745340098504,1.685823754789272,0.007509094662964344
13,13,5772,70.12,75.12," So they don't go there, right? But then you get there. You're like Jesus Christ. It's beautiful and these Mormons are so nice","[50983, 1406, 484, 836, 470, 467, 612, 11, 826, 30, 887, 788, 345, 651, 612, 13, 921, 821, 588, 5803, 1951, 13, 632, 338, 4950, 290, 777, 33003, 389, 523, 3621, 51233]",0.0,-0.29526745340098504,1.685823754789272,0.007509094662964344
14,14,5772,75.56,77.56, everybody's so nice,"[51255, 7288, 338, 523, 3621, 51355]",0.0,-0.29526745340098504,1.685823754789272,0.007509094662964344
15,15,5772,77.56,79.56, everybody's so nice and you talk and,"[51355, 7288, 338, 523, 3621, 290, 345, 1561, 290, 51455]",0.0,-0.29526745340098504,1.685823754789272,0.007509094662964344
16,16,5772,80.4,84.12," You know, I did so I don't remember what tour it was exactly","[51497, 921, 760, 11, 314, 750, 523, 314, 836, 470, 3505, 644, 4205, 340, 373, 3446, 51683]",0.0,-0.29526745340098504,1.685823754789272,0.007509094662964344
17,17,8412,84.12,91.4," But they were supposed to be 5,000 people to show up and then we end up getting to the show and there's 17,000 people","[50363, 887, 484, 547, 4385, 284, 307, 642, 11, 830, 661, 284, 905, 510, 290, 788, 356, 886, 510, 1972, 284, 262, 905, 290, 612, 338, 1596, 11, 830, 661, 50727]",0.0,-0.2492155039085532,1.5769230769230769,0.0023465724661946297
18,18,8412,91.4,93.32000000000001, So we had to move it,"[50727, 1406, 356, 550, 284, 1445, 340, 50823]",0.0,-0.2492155039085532,1.5769230769230769,0.0023465724661946297
19,19,8412,93.32000000000001,100.36000000000001," outside of the venue right on the salt flats. Oh wow, and I was just like if this isn't a sign from","[50823, 2354, 286, 262, 14359, 826, 319, 262, 8268, 38157, 13, 3966, 28796, 11, 290, 314, 373, 655, 588, 611, 428, 2125, 470, 257, 1051, 422, 51175]",0.0,-0.2492155039085532,1.5769230769230769,0.0023465724661946297
20,20,8412,102.16,104.16, God or,"[51265, 1793, 393, 51365]",0.0,-0.2492155039085532,1.5769230769230769,0.0023465724661946297
21,21,8412,104.16,112.72," Aliens, you know the aliens then I don't know what is so I looked at houses on Zillow and I found one and fix it all up and","[51365, 39301, 11, 345, 760, 262, 16269, 788, 314, 836, 470, 760, 644, 318, 523, 314, 3114, 379, 7777, 319, 1168, 359, 322, 290, 314, 1043, 530, 290, 4259, 340, 477, 510, 290, 51793]",0.0,-0.2492155039085532,1.5769230769230769,0.0023465724661946297
22,22,11272,112.96,118.84," That's awesome. No, I've been there two years just about that's a good it's a good spot for a guy like you too","[50375, 1320, 338, 7427, 13, 1400, 11, 314, 1053, 587, 612, 734, 812, 655, 546, 326, 338, 257, 922, 340, 338, 257, 922, 4136, 329, 257, 3516, 588, 345, 1165, 50669]",0.0,-0.24463347783164371,1.6641221374045803,0.0008321668137796223
23,23,11272,118.84,125.36," Because it's chill in comparison to the rest of your life, which is so crazy. Yeah, well, that's all shit. I couldn't do LA","[50669, 4362, 340, 338, 20493, 287, 7208, 284, 262, 1334, 286, 534, 1204, 11, 543, 318, 523, 7165, 13, 9425, 11, 880, 11, 326, 338, 477, 7510, 13, 314, 3521, 470, 466, 9131, 50995]",0.0,-0.24463347783164371,1.6641221374045803,0.0008321668137796223
24,24,11272,125.92,128.48," hmm, I couldn't do LA like I","[51023, 289, 3020, 11, 314, 3521, 470, 466, 9131, 588, 314, 51151]",0.0,-0.24463347783164371,1.6641221374045803,0.0008321668137796223
25,25,11272,129.12,134.76, move like I said from Syracuse to Dallas and in Dallas to LA when I was 18 and I,"[51183, 1445, 588, 314, 531, 422, 29141, 284, 8533, 290, 287, 8533, 284, 9131, 618, 314, 373, 1248, 290, 314, 51465]",0.0,-0.24463347783164371,1.6641221374045803,0.0008321668137796223
26,26,11272,136.0,142.2, It's it's a lot for me and I couldn't focus the way that I needed to right so on your music,"[51527, 632, 338, 340, 338, 257, 1256, 329, 502, 290, 314, 3521, 470, 2962, 262, 835, 326, 314, 2622, 284, 826, 523, 319, 534, 2647, 51837]",0.0,-0.24463347783164371,1.6641221374045803,0.0008321668137796223
27,27,14220,142.32,148.28," Yeah, I'm like there's always you know before COVID there's always something","[50369, 9425, 11, 314, 1101, 588, 612, 338, 1464, 345, 760, 878, 7375, 11008, 612, 338, 1464, 1223, 50667]",0.0,-0.36021104066268256,1.6847290640394088,0.0014170970534905791
28,28,14220,148.95999999999998,154.56, Going on right like 24 seven like it could be eight in the morning,"[50701, 19219, 319, 826, 588, 1987, 3598, 588, 340, 714, 307, 3624, 287, 262, 3329, 50981]",0.0,-0.36021104066268256,1.6847290640394088,0.0014170970534905791
29,29,14220,154.72,161.76," It could be what time is it right now two o'clock something yeah, and then you got to go do a podcast or","[50989, 632, 714, 307, 644, 640, 318, 340, 826, 783, 734, 267, 6, 15750, 1223, 10194, 11, 290, 788, 345, 1392, 284, 467, 466, 257, 9905, 393, 51341]",0.0,-0.36021104066268256,1.6847290640394088,0.0014170970534905791
30,30,14220,162.07999999999998,164.07999999999998, you got to go to like a,"[51357, 345, 1392, 284, 467, 284, 588, 257, 51457]",0.0,-0.36021104066268256,1.6847290640394088,0.0014170970534905791
31,31,14220,164.35999999999999,167.32, rooftop pool party or something and,"[51471, 33880, 5933, 2151, 393, 1223, 290, 51619]",0.0,-0.36021104066268256,1.6847290640394088,0.0014170970534905791
32,32,14220,167.92,170.64, you know it being in Utah it's so,"[51649, 345, 760, 340, 852, 287, 10202, 340, 338, 523, 51785]",0.0,-0.36021104066268256,1.6847290640394088,0.0014170970534905791
33,33,17220,172.56,177.48, Peaceful like you said and you get to focus on the music and wake up to the mountain,"[50381, 12689, 913, 588, 345, 531, 290, 345, 651, 284, 2962, 319, 262, 2647, 290, 7765, 510, 284, 262, 8598, 50627]",0.0,-0.2814167247099035,1.6064981949458483,0.0008655665442347527
34,34,17220,177.48,181.51999999999998," Yeah, and the Sun sets at 10 p.m. Which is bizarre","[50627, 9425, 11, 290, 262, 3825, 5621, 379, 838, 279, 13, 76, 13, 9022, 318, 13699, 50829]",0.0,-0.2814167247099035,1.6064981949458483,0.0008655665442347527
35,35,17220,182.07999999999998,189.56," Right around this time. Yeah, it's just nuts. You know it is bizarre right like now. It's especially bizarre","[50857, 6498, 1088, 428, 640, 13, 9425, 11, 340, 338, 655, 14380, 13, 921, 760, 340, 318, 13699, 826, 588, 783, 13, 632, 338, 2592, 13699, 51231]",0.0,-0.2814167247099035,1.6064981949458483,0.0008655665442347527
36,36,17220,190.44,196.6, Utah's always got a weird vibe man. Mm-hmm like Zion National Park go out there to the rocks and she can walk around,"[51275, 10202, 338, 1464, 1392, 257, 7650, 27426, 582, 13, 337, 76, 12, 71, 3020, 588, 16899, 2351, 3250, 467, 503, 612, 284, 262, 12586, 290, 673, 460, 2513, 1088, 51583]",0.0,-0.2814167247099035,1.6064981949458483,0.0008655665442347527
37,37,17220,196.6,200.51999999999998," I've been there have you yeah, nothing happened though. We went there for a TV show","[51583, 314, 1053, 587, 612, 423, 345, 10194, 11, 2147, 3022, 996, 13, 775, 1816, 612, 329, 257, 3195, 905, 51779]",0.0,-0.2814167247099035,1.6064981949458483,0.0008655665442347527
38,38,20052,200.52,203.32000000000002, We're like come on aliens. Where are you you fucks?,"[50363, 775, 821, 588, 1282, 319, 16269, 13, 6350, 389, 345, 345, 277, 6238, 30, 50503]",0.0,-0.281493820306909,1.7256317689530687,0.007010271772742271
39,39,20052,203.88000000000002,206.52, They weren't buying you don't know Tyler Tyler,"[50531, 1119, 6304, 470, 7067, 345, 836, 470, 760, 14886, 14886, 50663]",0.0,-0.281493820306909,1.7256317689530687,0.007010271772742271
40,40,20052,207.36,210.92000000000002," The alien oh no yeah, that's my dog you were telling me","[50705, 383, 8756, 11752, 645, 10194, 11, 326, 338, 616, 3290, 345, 547, 5149, 502, 50883]",0.0,-0.281493820306909,1.7256317689530687,0.007010271772742271
41,41,20052,212.64000000000001,218.76000000000002," Yeah, his best room's name is Ziggy. Did they visit you in the middle of the night? No, they don't they just visit me during the day","[50969, 9425, 11, 465, 1266, 2119, 338, 1438, 318, 24992, 1360, 13, 7731, 484, 3187, 345, 287, 262, 3504, 286, 262, 1755, 30, 1400, 11, 484, 836, 470, 484, 655, 3187, 502, 1141, 262, 1110, 51275]",0.0,-0.281493820306909,1.7256317689530687,0.007010271772742271
42,42,20052,218.76000000000002,220.28, We just play beer pong,"[51275, 775, 655, 711, 6099, 279, 506, 51351]",0.0,-0.281493820306909,1.7256317689530687,0.007010271772742271
43,43,20052,220.28,221.44, Damn,"[51351, 40146, 51409]",0.0,-0.281493820306909,1.7256317689530687,0.007010271772742271
44,44,20052,221.44,223.76000000000002, If you do the right drugs you can meet the aliens,"[51409, 1002, 345, 466, 262, 826, 5010, 345, 460, 1826, 262, 16269, 51525]",0.0,-0.281493820306909,1.7256317689530687,0.007010271772742271
45,45,20052,223.76000000000002,229.88, We're talking about that in the green room if you do the right amount of mushrooms in a tank getting a flow tank,"[51525, 775, 821, 3375, 546, 326, 287, 262, 4077, 2119, 611, 345, 466, 262, 826, 2033, 286, 23452, 287, 257, 6873, 1972, 257, 5202, 6873, 51831]",0.0,-0.281493820306909,1.7256317689530687,0.007010271772742271
46,46,23052,230.52,236.84," You can meet aliens. Well, that's whenever you're your most vulnerable like you said most vulnerable most most susceptible to","[50363, 921, 460, 1826, 16269, 13, 3894, 11, 326, 338, 8797, 345, 821, 534, 749, 8826, 588, 345, 531, 749, 8826, 749, 749, 22084, 284, 50679]",0.0,-0.20767056941986084,1.8834586466165413,0.0022765612229704857
47,47,23052,237.32000000000002,239.36, That's that's why I like weed you know,"[50703, 1320, 338, 326, 338, 1521, 314, 588, 20349, 345, 760, 50805]",0.0,-0.20767056941986084,1.8834586466165413,0.0022765612229704857
48,48,23052,239.36,243.08, We were talking about weed makes you vulnerable and I think for someone like me,"[50805, 775, 547, 3375, 546, 20349, 1838, 345, 8826, 290, 314, 892, 329, 2130, 588, 502, 50991]",0.0,-0.20767056941986084,1.8834586466165413,0.0022765612229704857
49,49,23052,243.08,246.20000000000002, That's a good thing to like think that way to think sure think,"[50991, 1320, 338, 257, 922, 1517, 284, 588, 892, 326, 835, 284, 892, 1654, 892, 51147]",0.0,-0.20767056941986084,1.8834586466165413,0.0022765612229704857
50,50,23052,246.84,253.36, Just just look at all the vulnerabilities and just the reality of life and the temporary nature of it,"[51179, 2329, 655, 804, 379, 477, 262, 23805, 290, 655, 262, 3950, 286, 1204, 290, 262, 8584, 3450, 286, 340, 51505]",0.0,-0.20767056941986084,1.8834586466165413,0.0022765612229704857
51,51,23052,253.36,256.88, Which just makes me more appreciative right like the fear actually makes more appreciate it,"[51505, 9022, 655, 1838, 502, 517, 5763, 876, 826, 588, 262, 3252, 1682, 1838, 517, 9144, 340, 51681]",0.0,-0.20767056941986084,1.8834586466165413,0.0022765612229704857
52,52,25688,257.24,262.71999999999997, But mushrooms are different animal man. They just bring you to this weird place. That's like right next door,"[50381, 887, 23452, 389, 1180, 5044, 582, 13, 1119, 655, 2222, 345, 284, 428, 7650, 1295, 13, 1320, 338, 588, 826, 1306, 3420, 50655]",0.0,-0.20013146481271518,1.7328244274809161,0.000579805055167526
53,53,25688,262.92,269.15999999999997," You know, it's like it's like a hall pass to this other place like you get like a VIP bracelet","[50665, 921, 760, 11, 340, 338, 588, 340, 338, 588, 257, 6899, 1208, 284, 428, 584, 1295, 588, 345, 651, 588, 257, 24791, 42893, 50977]",0.0,-0.20013146481271518,1.7328244274809161,0.000579805055167526
54,54,25688,269.15999999999997,271.6, You get to go into another room. That's right there all the time,"[50977, 921, 651, 284, 467, 656, 1194, 2119, 13, 1320, 338, 826, 612, 477, 262, 640, 51099]",0.0,-0.20013146481271518,1.7328244274809161,0.000579805055167526
55,55,25688,272.68,278.15999999999997," But you can't go in until you get that bracelet. Yeah, and that's the whole thing like I","[51153, 887, 345, 460, 470, 467, 287, 1566, 345, 651, 326, 42893, 13, 9425, 11, 290, 326, 338, 262, 2187, 1517, 588, 314, 51427]",0.0,-0.20013146481271518,1.7328244274809161,0.000579805055167526
56,56,25688,278.48,282.44, I've been doing these micro doses for a while and you don't really,"[51443, 314, 1053, 587, 1804, 777, 4580, 16376, 329, 257, 981, 290, 345, 836, 470, 1107, 51641]",0.0,-0.20013146481271518,1.7328244274809161,0.000579805055167526
57,57,25688,283.04,285.04, Catch it until you do like 10,"[51671, 25750, 340, 1566, 345, 466, 588, 838, 51771]",0.0,-0.20013146481271518,1.7328244274809161,0.000579805055167526
58,58,28504,285.6,292.40000000000003," Like right off the rip. Mm-hmm, but then I ate these chocolates the other day some shrimmies chocolates and","[50391, 4525, 826, 572, 262, 18344, 13, 337, 76, 12, 71, 3020, 11, 475, 788, 314, 15063, 777, 442, 4668, 689, 262, 584, 1110, 617, 427, 3036, 76, 444, 442, 4668, 689, 290, 50731]",0.0,-0.3581186930338542,1.5288461538461537,0.0003385153249837458
59,59,28504,294.28000000000003,299.68, Me and my my producer Lou we made a a Coachella set for about two hours,"[50825, 2185, 290, 616, 616, 9920, 4768, 356, 925, 257, 257, 1766, 4891, 8466, 900, 329, 546, 734, 2250, 51095]",0.0,-0.3581186930338542,1.5288461538461537,0.0003385153249837458
60,60,28504,300.52000000000004,305.64000000000004, Based off of the robla. Do you know roblox? Yes? I have girls young daughters,"[51137, 13403, 572, 286, 262, 686, 2436, 64, 13, 2141, 345, 760, 686, 2436, 1140, 30, 3363, 30, 314, 423, 4813, 1862, 14850, 51393]",0.0,-0.3581186930338542,1.5288461538461537,0.0003385153249837458
61,61,28504,306.48,310.88," Do you know the death sound of roblox? No, what's this down?","[51435, 2141, 345, 760, 262, 1918, 2128, 286, 686, 2436, 1140, 30, 1400, 11, 644, 338, 428, 866, 30, 51655]",0.0,-0.3581186930338542,1.5288461538461537,0.0003385153249837458
62,62,31504,316.0,322.88," That's what happens when you die. Yeah, and then I sampled it and we made a whole two hours off of the deal with just a","[50411, 1320, 338, 644, 4325, 618, 345, 4656, 13, 9425, 11, 290, 788, 314, 35846, 340, 290, 356, 925, 257, 2187, 734, 2250, 572, 286, 262, 1730, 351, 655, 257, 50755]",0.0,-0.27587294578552246,1.5870445344129556,0.0023399395868182182
63,63,31504,322.88,326.48, Fucking four to the floor kick drum and it was the time of my life Wow,"[50755, 376, 19296, 1440, 284, 262, 4314, 4829, 13026, 290, 340, 373, 262, 640, 286, 616, 1204, 24755, 50935]",0.0,-0.27587294578552246,1.5870445344129556,0.0023399395868182182
64,64,31504,327.28000000000003,329.76000000000005, And I felt like I got that VIP,"[50975, 843, 314, 2936, 588, 314, 1392, 326, 24791, 51099]",0.0,-0.27587294578552246,1.5870445344129556,0.0023399395868182182
65,65,31504,330.24,335.28000000000003," wristband mmm, and I was backstage at Ziggy and Tyler's concert the aliens","[51123, 15980, 3903, 285, 3020, 11, 290, 314, 373, 43090, 379, 24992, 1360, 290, 14886, 338, 10010, 262, 16269, 51375]",0.0,-0.27587294578552246,1.5870445344129556,0.0023399395868182182
66,66,31504,336.8,341.68, Do you feel like that sometimes when ideas come to you when you fucked up like it's almost like,"[51451, 2141, 345, 1254, 588, 326, 3360, 618, 4213, 1282, 284, 345, 618, 345, 20654, 510, 588, 340, 338, 2048, 588, 51695]",0.0,-0.27587294578552246,1.5870445344129556,0.0023399395868182182
67,67,34168,342.56,347.36, Like it's a gift from somewhere. I have no idea. I think,"[50407, 4525, 340, 338, 257, 6979, 422, 7382, 13, 314, 423, 645, 2126, 13, 314, 892, 50647]",0.0,-0.2680726623535156,1.4971098265895955,0.0013663735007867217
68,68,34168,349.36,351.84000000000003, All of my ideas are kind of like mistakes,"[50747, 1439, 286, 616, 4213, 389, 1611, 286, 588, 10135, 50871]",0.0,-0.2680726623535156,1.4971098265895955,0.0013663735007867217
69,69,34168,353.6,355.36, It's like,"[50959, 632, 338, 588, 51047]",0.0,-0.2680726623535156,1.4971098265895955,0.0013663735007867217
70,70,34168,355.36,358.36, Because you never wake up and say today. I'm gonna write,"[51047, 4362, 345, 1239, 7765, 510, 290, 910, 1909, 13, 314, 1101, 8066, 3551, 51197]",0.0,-0.2680726623535156,1.4971098265895955,0.0013663735007867217
71,71,34168,359.28000000000003,363.28000000000003, the you know congratulations or any or any song and,"[51243, 262, 345, 760, 45108, 393, 597, 393, 597, 3496, 290, 51443]",0.0,-0.2680726623535156,1.4971098265895955,0.0013663735007867217
72,72,34168,364.92,367.48, You kind of just it's it's all about like,"[51525, 921, 1611, 286, 655, 340, 338, 340, 338, 477, 546, 588, 51653]",0.0,-0.2680726623535156,1.4971098265895955,0.0013663735007867217
73,73,36748,368.44,374.12," Right moment right time. Yeah, like I had oh I had like eight Bud lights, right?","[50411, 6498, 2589, 826, 640, 13, 9425, 11, 588, 314, 550, 11752, 314, 550, 588, 3624, 10370, 7588, 11, 826, 30, 50695]",0.0,-0.2738308800591363,1.6850828729281768,0.00119648571126163
74,74,36748,374.12,379.20000000000005, And then I took just a tiny bit of shrooms and then here it's like,"[50695, 843, 788, 314, 1718, 655, 257, 7009, 1643, 286, 427, 9649, 290, 788, 994, 340, 338, 588, 50949]",0.0,-0.2738308800591363,1.6850828729281768,0.00119648571126163
75,75,36748,381.20000000000005,385.8," And then it just happens. Yeah, there's it's it's like","[51049, 843, 788, 340, 655, 4325, 13, 9425, 11, 612, 338, 340, 338, 340, 338, 588, 51279]",0.0,-0.2738308800591363,1.6850828729281768,0.00119648571126163
76,76,36748,387.32,390.6, It is an accident it is just like a,"[51355, 632, 318, 281, 5778, 340, 318, 655, 588, 257, 51519]",0.0,-0.2738308800591363,1.6850828729281768,0.00119648571126163
77,77,36748,391.68,394.16, spur of the moment type deal to where you're like let me,"[51573, 26724, 286, 262, 2589, 2099, 1730, 284, 810, 345, 821, 588, 1309, 502, 51697]",0.0,-0.2738308800591363,1.6850828729281768,0.00119648571126163
78,78,36748,395.0,396.76, sing this,"[51739, 1702, 428, 51827]",0.0,-0.2738308800591363,1.6850828729281768,0.00119648571126163
79,79,39676,396.8,403.15999999999997, Melody over this beat or let me make this beat even and it just kind of happens. I don't know,"[50365, 38906, 625, 428, 4405, 393, 1309, 502, 787, 428, 4405, 772, 290, 340, 655, 1611, 286, 4325, 13, 314, 836, 470, 760, 50683]",0.0,-0.1955126150330501,1.6589403973509933,0.0004982964019291103
80,80,39676,403.8,408.92," Well, that's the flow state right when you just you can get out of your own way and you can let ideas come to you","[50715, 3894, 11, 326, 338, 262, 5202, 1181, 826, 618, 345, 655, 345, 460, 651, 503, 286, 534, 898, 835, 290, 345, 460, 1309, 4213, 1282, 284, 345, 50971]",0.0,-0.1955126150330501,1.6589403973509933,0.0004982964019291103
81,81,39676,409.56,411.56, Like I was talking with this dude,"[51003, 4525, 314, 373, 3375, 351, 428, 18396, 51103]",0.0,-0.1955126150330501,1.6589403973509933,0.0004982964019291103
82,82,39676,411.8,416.59999999999997, His name's Joe Desena. He runs a Spartan race. He's a really smart guy very interesting guy,"[51115, 2399, 1438, 338, 5689, 2935, 8107, 13, 679, 4539, 257, 34527, 3234, 13, 679, 338, 257, 1107, 4451, 3516, 845, 3499, 3516, 51355]",0.0,-0.1955126150330501,1.6589403973509933,0.0004982964019291103
83,83,39676,416.59999999999997,419.71999999999997, Mm-hmm. He does a lot of stuff for kids. He's got all these kid programs,"[51355, 337, 76, 12, 71, 3020, 13, 679, 857, 257, 1256, 286, 3404, 329, 3988, 13, 679, 338, 1392, 477, 777, 5141, 4056, 51511]",0.0,-0.1955126150330501,1.6589403973509933,0.0004982964019291103
84,84,39676,419.71999999999997,424.64, These kids do like difficult tasks and it like to do it over a summer camp and get some better,"[51511, 2312, 3988, 466, 588, 2408, 8861, 290, 340, 588, 284, 466, 340, 625, 257, 3931, 1413, 290, 651, 617, 1365, 51757]",0.0,-0.1955126150330501,1.6589403973509933,0.0004982964019291103
85,85,42464,424.8,429.44, But we were talking about it and we were talking about being healthy and all the benefits of being healthy,"[50371, 887, 356, 547, 3375, 546, 340, 290, 356, 547, 3375, 546, 852, 5448, 290, 477, 262, 4034, 286, 852, 5448, 50603]",0.0,-0.253101263473283,1.9895104895104896,0.0014116778038442135
86,86,42464,429.44,431.71999999999997," Sure, and I was like this there's a lot to that","[50603, 10889, 11, 290, 314, 373, 588, 428, 612, 338, 257, 1256, 284, 326, 50717]",0.0,-0.253101263473283,1.9895104895104896,0.0014116778038442135
87,87,42464,431.71999999999997,438.08, But there's also a lot to like the person who binges and creates something incredible,"[50717, 887, 612, 338, 635, 257, 1256, 284, 588, 262, 1048, 508, 275, 26792, 290, 8075, 1223, 8082, 51035]",0.0,-0.253101263473283,1.9895104895104896,0.0014116778038442135
88,88,42464,438.08,440.03999999999996, We were talking about Stephen Kings books,"[51035, 775, 547, 3375, 546, 7970, 10578, 3835, 51133]",0.0,-0.253101263473283,1.9895104895104896,0.0014116778038442135
89,89,42464,440.03999999999996,445.47999999999996," Sure, like some of the ones he doesn't even remember right or the best ones because he was on Coke and drinking a fucking case","[51133, 10889, 11, 588, 617, 286, 262, 3392, 339, 1595, 470, 772, 3505, 826, 393, 262, 1266, 3392, 780, 339, 373, 319, 34723, 290, 7722, 257, 9372, 1339, 51405]",0.0,-0.253101263473283,1.9895104895104896,0.0014116778038442135
90,90,42464,445.47999999999996,451.24, A bud like you just blasted out of his head chain smoking cigarettes and he doesn't even remember writing,"[51405, 317, 3600, 588, 345, 655, 26044, 503, 286, 465, 1182, 6333, 9216, 17626, 290, 339, 1595, 470, 772, 3505, 3597, 51693]",0.0,-0.253101263473283,1.9895104895104896,0.0014116778038442135
91,91,42464,451.24,453.88, I think it's koo-joo doesn't even remember writing it,"[51693, 314, 892, 340, 338, 479, 2238, 12, 73, 2238, 1595, 470, 772, 3505, 3597, 340, 51825]",0.0,-0.253101263473283,1.9895104895104896,0.0014116778038442135
92,92,45464,454.64,458.08," Like wrote carry half blacked out you read that book today, man","[50363, 4525, 2630, 3283, 2063, 2042, 276, 503, 345, 1100, 326, 1492, 1909, 11, 582, 50535]",0.0,-0.273980475760795,1.714828897338403,0.005202904809266329
93,93,45464,458.08,460.12, That is one of the best fucking hard books ever,"[50535, 1320, 318, 530, 286, 262, 1266, 9372, 1327, 3835, 1683, 50637]",0.0,-0.273980475760795,1.714828897338403,0.005202904809266329
94,94,45464,460.96,465.47999999999996, Stephen Kings fan Stephen King fan dude and then he's amazing,"[50679, 7970, 10578, 4336, 7970, 2677, 4336, 18396, 290, 788, 339, 338, 4998, 50905]",0.0,-0.273980475760795,1.714828897338403,0.005202904809266329
