,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0,0.0,1.68, Why do I like feet?,"[50363, 4162, 466, 314, 588, 3625, 30, 50447]",0.0,-0.3731411485111012,1.7037037037037037,0.02343897894024849
1,1,0,1.68,2.52," Oh, yeah.","[50447, 3966, 11, 10194, 13, 50489]",0.0,-0.3731411485111012,1.7037037037037037,0.02343897894024849
2,2,0,2.52,3.36, I need this answer.,"[50489, 314, 761, 428, 3280, 13, 50531]",0.0,-0.3731411485111012,1.7037037037037037,0.02343897894024849
3,3,0,3.36,4.44," Big time, foot fetish guy.","[50531, 4403, 640, 11, 2366, 32870, 3516, 13, 50585]",0.0,-0.3731411485111012,1.7037037037037037,0.02343897894024849
4,4,0,4.44,5.88, Big time.,"[50585, 4403, 640, 13, 50657]",0.0,-0.3731411485111012,1.7037037037037037,0.02343897894024849
5,5,0,5.88,7.48, I don't fuck them.,"[50657, 314, 836, 470, 5089, 606, 13, 50737]",0.0,-0.3731411485111012,1.7037037037037037,0.02343897894024849
6,6,0,7.48,8.32," Okay, don't make that.","[50737, 16805, 11, 836, 470, 787, 326, 13, 50779]",0.0,-0.3731411485111012,1.7037037037037037,0.02343897894024849
7,7,0,8.32,9.16, We know.,"[50779, 775, 760, 13, 50821]",0.0,-0.3731411485111012,1.7037037037037037,0.02343897894024849
8,8,0,9.16,12.36," Yeah, so there are two reasons.","[50821, 9425, 11, 523, 612, 389, 734, 3840, 13, 50981]",0.0,-0.3731411485111012,1.7037037037037037,0.02343897894024849
9,9,0,12.36,13.200000000000001, Okay.,"[50981, 16805, 13, 51023]",0.0,-0.3731411485111012,1.7037037037037037,0.02343897894024849
10,10,0,13.200000000000001,14.200000000000001," Left foot, right foot.","[51023, 9578, 2366, 11, 826, 2366, 13, 51073]",0.0,-0.3731411485111012,1.7037037037037037,0.02343897894024849
11,11,0,14.200000000000001,15.040000000000001, Yeah.,"[51073, 9425, 13, 51115]",0.0,-0.3731411485111012,1.7037037037037037,0.02343897894024849
12,12,0,15.040000000000001,16.88, That's all you need to know.,"[51115, 1320, 338, 477, 345, 761, 284, 760, 13, 51207]",0.0,-0.3731411485111012,1.7037037037037037,0.02343897894024849
13,13,0,16.88,17.88, That's true.,"[51207, 1320, 338, 2081, 13, 51257]",0.0,-0.3731411485111012,1.7037037037037037,0.02343897894024849
14,14,0,17.88,19.96, There are two reasons.,"[51257, 1318, 389, 734, 3840, 13, 51361]",0.0,-0.3731411485111012,1.7037037037037037,0.02343897894024849
15,15,0,21.6,25.080000000000002," Okay, so there's true fetish, okay?","[51443, 16805, 11, 523, 612, 338, 2081, 32870, 11, 8788, 30, 51617]",0.0,-0.3731411485111012,1.7037037037037037,0.02343897894024849
16,16,0,25.080000000000002,26.96," And in the clinical sense,","[51617, 843, 287, 262, 8668, 2565, 11, 51711]",0.0,-0.3731411485111012,1.7037037037037037,0.02343897894024849
17,17,0,26.96,28.96, a fetish is something that somebody,"[51711, 257, 32870, 318, 1223, 326, 8276, 51811]",0.0,-0.3731411485111012,1.7037037037037037,0.02343897894024849
18,18,2896,28.96,32.72," actually requires in order to get aroused, okay?","[50363, 1682, 4433, 287, 1502, 284, 651, 38832, 11, 8788, 30, 50551]",0.0,-0.2304485288716979,1.8133333333333332,0.007088236976414919
19,19,2896,32.72,38.2, So fetish can be like people talk about fetish light,"[50551, 1406, 32870, 460, 307, 588, 661, 1561, 546, 32870, 1657, 50825]",0.0,-0.2304485288716979,1.8133333333333332,0.007088236976414919
20,20,2896,38.2,39.120000000000005, or people talk about it.,"[50825, 393, 661, 1561, 546, 340, 13, 50871]",0.0,-0.2304485288716979,1.8133333333333332,0.007088236976414919
21,21,2896,39.120000000000005,40.68, But then there are true fetishes,"[50871, 887, 788, 612, 389, 2081, 11351, 5614, 50949]",0.0,-0.2304485288716979,1.8133333333333332,0.007088236976414919
22,22,2896,40.68,44.84," where people actually require feet or,","[50949, 810, 661, 1682, 2421, 3625, 393, 11, 51157]",0.0,-0.2304485288716979,1.8133333333333332,0.007088236976414919
23,23,2896,44.84,47.760000000000005," okay, let's think about the extreme fetishes, right?","[51157, 8788, 11, 1309, 338, 892, 546, 262, 3257, 11351, 5614, 11, 826, 30, 51303]",0.0,-0.2304485288716979,1.8133333333333332,0.007088236976414919
