,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0,0.0,2.0, That's why you need to have some of those.,"[50363, 1320, 338, 1521, 345, 761, 284, 423, 617, 286, 883, 13, 50463]",0.0,-0.24041193473238906,1.55,0.07452839612960815
1,1,0,2.0,3.0, Get it.,"[50463, 3497, 340, 13, 50513]",0.0,-0.24041193473238906,1.55,0.07452839612960815
2,2,0,3.0,4.0, It's done after this.,"[50513, 632, 338, 1760, 706, 428, 13, 50563]",0.0,-0.24041193473238906,1.55,0.07452839612960815
3,3,0,4.0,5.0, Yeah.,"[50563, 9425, 13, 50613]",0.0,-0.24041193473238906,1.55,0.07452839612960815
4,4,0,5.0,6.0, More like a nugget.,"[50613, 3125, 588, 257, 299, 1018, 1136, 13, 50663]",0.0,-0.24041193473238906,1.55,0.07452839612960815
5,5,0,6.0,9.0, I am not interested in being around grizzly bears.,"[50663, 314, 716, 407, 4609, 287, 852, 1088, 46307, 306, 13062, 13, 50813]",0.0,-0.24041193473238906,1.55,0.07452839612960815
6,6,0,9.0,13.0, The bear caught up to the moose and broke its back.,"[50813, 383, 6842, 4978, 510, 284, 262, 6941, 577, 290, 6265, 663, 736, 13, 51013]",0.0,-0.24041193473238906,1.55,0.07452839612960815
7,7,0,13.0,15.0, Just...,"[51013, 2329, 986, 51113]",0.0,-0.24041193473238906,1.55,0.07452839612960815
8,8,0,15.0,20.0, The fucking giant beast just running through the camp.,"[51113, 383, 9372, 6175, 13824, 655, 2491, 832, 262, 1413, 13, 51363]",0.0,-0.24041193473238906,1.55,0.07452839612960815
9,9,0,20.0,24.0, It's literally like a machine that crushes moose bones.,"[51363, 632, 338, 7360, 588, 257, 4572, 326, 1067, 17237, 6941, 577, 11945, 13, 51563]",0.0,-0.24041193473238906,1.55,0.07452839612960815
10,10,0,24.0,25.0, Okay.,"[51563, 16805, 13, 51613]",0.0,-0.24041193473238906,1.55,0.07452839612960815
11,11,0,25.0,26.0, Okay.,"[51613, 16805, 13, 51663]",0.0,-0.24041193473238906,1.55,0.07452839612960815
12,12,0,26.0,29.0, That polar bear smells that man's meat.,"[51663, 1320, 13559, 6842, 25760, 326, 582, 338, 6174, 13, 51813]",0.0,-0.24041193473238906,1.55,0.07452839612960815
13,13,2900,29.0,31.0, Have you ever been in a furry convention?,"[50363, 8192, 345, 1683, 587, 287, 257, 40857, 9831, 30, 50463]",0.0,-0.3346926825387137,1.5485436893203883,0.10065958648920059
14,14,2900,31.0,32.0, Oh.,"[50463, 3966, 13, 50513]",0.0,-0.3346926825387137,1.5485436893203883,0.10065958648920059
15,15,2900,32.0,33.0, What?,"[50513, 1867, 30, 50563]",0.0,-0.3346926825387137,1.5485436893203883,0.10065958648920059
16,16,2900,33.0,36.0, You think you've been in a tough...,"[50563, 921, 892, 345, 1053, 587, 287, 257, 5802, 986, 50713]",0.0,-0.3346926825387137,1.5485436893203883,0.10065958648920059
17,17,2900,36.0,38.0, You got some crazy thoughts.,"[50713, 921, 1392, 617, 7165, 6066, 13, 50813]",0.0,-0.3346926825387137,1.5485436893203883,0.10065958648920059
18,18,2900,38.0,39.0, What?,"[50813, 1867, 30, 50863]",0.0,-0.3346926825387137,1.5485436893203883,0.10065958648920059
19,19,2900,39.0,40.0, Don't you do it.,"[50863, 2094, 470, 345, 466, 340, 13, 50913]",0.0,-0.3346926825387137,1.5485436893203883,0.10065958648920059
20,20,2900,40.0,45.0, It's like it's what I look like when a man does not give a fuck.,"[50913, 632, 338, 588, 340, 338, 644, 314, 804, 588, 618, 257, 582, 857, 407, 1577, 257, 5089, 13, 51163]",0.0,-0.3346926825387137,1.5485436893203883,0.10065958648920059
21,21,2900,45.0,49.0, Don't you even feel real good at stomping.,"[51163, 2094, 470, 345, 772, 1254, 1103, 922, 379, 32221, 278, 13, 51363]",0.0,-0.3346926825387137,1.5485436893203883,0.10065958648920059
22,22,2900,49.0,51.0, You got stomped.,"[51363, 921, 1392, 32221, 276, 13, 51463]",0.0,-0.3346926825387137,1.5485436893203883,0.10065958648920059
23,23,2900,51.0,52.0, The fucking shit.,"[51463, 383, 9372, 7510, 13, 51513]",0.0,-0.3346926825387137,1.5485436893203883,0.10065958648920059
24,24,2900,52.0,53.0, Oh my god.,"[51513, 3966, 616, 5770, 13, 51563]",0.0,-0.3346926825387137,1.5485436893203883,0.10065958648920059
25,25,2900,53.0,56.0, My most fun podcast ever.,"[51563, 2011, 749, 1257, 9905, 1683, 13, 51713]",0.0,-0.3346926825387137,1.5485436893203883,0.10065958648920059
26,26,5600,56.0,58.0, What's up everybody and welcome to flagrant.,"[50363, 1867, 338, 510, 7288, 290, 7062, 284, 6056, 5250, 13, 50463]",0.0,-0.13178296949042648,1.6008771929824561,0.12860259413719177
27,27,5600,58.0,61.0, First guest app you know we had to start out with a banger.,"[50463, 3274, 8319, 598, 345, 760, 356, 550, 284, 923, 503, 351, 257, 275, 2564, 13, 50613]",0.0,-0.13178296949042648,1.6008771929824561,0.12860259413719177
28,28,5600,61.0,65.0, He is the only Joe that should be running this country.,"[50613, 679, 318, 262, 691, 5689, 326, 815, 307, 2491, 428, 1499, 13, 50813]",0.0,-0.13178296949042648,1.6008771929824561,0.12860259413719177
29,29,5600,65.0,66.0, Okay.,"[50813, 16805, 13, 50863]",0.0,-0.13178296949042648,1.6008771929824561,0.12860259413719177
30,30,5600,66.0,71.0, He is a man with a leg kick so hard he could snap lizzo's thigh.,"[50863, 679, 318, 257, 582, 351, 257, 1232, 4829, 523, 1327, 339, 714, 11495, 300, 6457, 78, 338, 19341, 13, 51113]",0.0,-0.13178296949042648,1.6008771929824561,0.12860259413719177
31,31,5600,71.0,72.0, Wow.,"[51113, 24755, 13, 51163]",0.0,-0.13178296949042648,1.6008771929824561,0.12860259413719177
32,32,5600,72.0,74.0, You've seen him on NBC.,"[51163, 921, 1053, 1775, 683, 319, 9716, 13, 51263]",0.0,-0.13178296949042648,1.6008771929824561,0.12860259413719177
33,33,5600,74.0,76.0, You've seen him on UFC.,"[51263, 921, 1053, 1775, 683, 319, 11448, 13, 51363]",0.0,-0.13178296949042648,1.6008771929824561,0.12860259413719177
34,34,5600,76.0,79.0, You've seen him on TRT.,"[51363, 921, 1053, 1775, 683, 319, 7579, 51, 13, 51513]",0.0,-0.13178296949042648,1.6008771929824561,0.12860259413719177
35,35,5600,79.0,81.0, He is the man.,"[51513, 679, 318, 262, 582, 13, 51613]",0.0,-0.13178296949042648,1.6008771929824561,0.12860259413719177
36,36,5600,81.0,82.0, Okay.,"[51613, 16805, 13, 51663]",0.0,-0.13178296949042648,1.6008771929824561,0.12860259413719177
37,37,5600,82.0,85.0, Stone Cold stuck in Austin himself.,"[51663, 8026, 10250, 7819, 287, 9533, 2241, 13, 51813]",0.0,-0.13178296949042648,1.6008771929824561,0.12860259413719177
38,38,8500,85.0,87.0, He is Joe Rogan everybody.,"[50363, 679, 318, 5689, 8041, 272, 7288, 13, 50463]",0.0,-0.2501894724454811,1.669064748201439,0.04947028309106827
39,39,8500,87.0,91.0, He is officially the motherfucking failed it.,"[50463, 679, 318, 8720, 262, 2802, 69, 19296, 4054, 340, 13, 50663]",0.0,-0.2501894724454811,1.669064748201439,0.04947028309106827
40,40,8500,91.0,92.0, Let's go.,"[50663, 3914, 338, 467, 13, 50713]",0.0,-0.2501894724454811,1.669064748201439,0.04947028309106827
41,41,8500,92.0,93.0, My brother.,"[50713, 2011, 3956, 13, 50763]",0.0,-0.2501894724454811,1.669064748201439,0.04947028309106827
42,42,8500,93.0,94.0, Hey.,"[50763, 14690, 13, 50813]",0.0,-0.2501894724454811,1.669064748201439,0.04947028309106827
43,43,8500,94.0,96.0, You guys have over complicated the podcast.,"[50813, 921, 3730, 423, 625, 8253, 262, 9905, 13, 50913]",0.0,-0.2501894724454811,1.669064748201439,0.04947028309106827
44,44,8500,96.0,98.0, You had a good thing going on.,"[50913, 921, 550, 257, 922, 1517, 1016, 319, 13, 51013]",0.0,-0.2501894724454811,1.669064748201439,0.04947028309106827
45,45,8500,98.0,99.0, That's how it's going.,"[51013, 1320, 338, 703, 340, 338, 1016, 13, 51063]",0.0,-0.2501894724454811,1.669064748201439,0.04947028309106827
46,46,8500,99.0,102.0, You guys had a fucking normal simple thing.,"[51063, 921, 3730, 550, 257, 9372, 3487, 2829, 1517, 13, 51213]",0.0,-0.2501894724454811,1.669064748201439,0.04947028309106827
47,47,8500,102.0,104.0, You know I know we need wireless mics.,"[51213, 921, 760, 314, 760, 356, 761, 12521, 285, 873, 13, 51313]",0.0,-0.2501894724454811,1.669064748201439,0.04947028309106827
48,48,8500,104.0,105.0, We need introductions.,"[51313, 775, 761, 3120, 2733, 13, 51363]",0.0,-0.2501894724454811,1.669064748201439,0.04947028309106827
