,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0,0.0,4.4, I know all about YouTube analytics. Do you want me to help you with that? I could use the help. Jesse. Yeah,"[50363, 314, 760, 477, 546, 7444, 23696, 13, 2141, 345, 765, 502, 284, 1037, 345, 351, 326, 30, 314, 714, 779, 262, 1037, 13, 18033, 13, 9425, 50583]",0.0,-0.49401147417027313,1.5966101694915253,0.1186792403459549
1,1,0,4.4,6.4, Are you logged into the show's channel?,"[50583, 4231, 345, 18832, 656, 262, 905, 338, 6518, 30, 50683]",0.0,-0.49401147417027313,1.5966101694915253,0.1186792403459549
2,2,0,6.4,8.9," Oh shit, he's really mad. Hold on, hold on, hold on, what are we-","[50683, 3966, 7510, 11, 339, 338, 1107, 8805, 13, 9340, 319, 11, 1745, 319, 11, 1745, 319, 11, 644, 389, 356, 12, 50808]",0.0,-0.49401147417027313,1.5966101694915253,0.1186792403459549
3,3,0,12.6,13.8, Where did you meet your girlfriend?,"[50993, 6350, 750, 345, 1826, 534, 11077, 30, 51053]",0.0,-0.49401147417027313,1.5966101694915253,0.1186792403459549
4,4,0,13.8,16.2," Uh, but God. That one was uh-","[51053, 28574, 11, 475, 1793, 13, 1320, 530, 373, 21480, 12, 51173]",0.0,-0.49401147417027313,1.5966101694915253,0.1186792403459549
5,5,0,16.2,17.2, Hey!,"[51173, 14690, 0, 51223]",0.0,-0.49401147417027313,1.5966101694915253,0.1186792403459549
6,6,0,17.2,19.8," You know, the mile high as I was going to Antarctica.","[51223, 921, 760, 11, 262, 10591, 1029, 355, 314, 373, 1016, 284, 30185, 13, 51353]",0.0,-0.49401147417027313,1.5966101694915253,0.1186792403459549
7,7,0,19.8,21.1," Oh, hey, yo.","[51353, 3966, 11, 17207, 11, 27406, 13, 51418]",0.0,-0.49401147417027313,1.5966101694915253,0.1186792403459549
8,8,0,21.1,26.2," A billion dollars if we could phone the channel and the companies and stuff like that. Like, that sounds enticing, but-","[51418, 317, 2997, 5054, 611, 356, 714, 3072, 262, 6518, 290, 262, 2706, 290, 3404, 588, 326, 13, 4525, 11, 326, 5238, 47460, 11, 475, 12, 51673]",0.0,-0.49401147417027313,1.5966101694915253,0.1186792403459549
9,9,2620,26.2,30.2, Like you've been offered a billion dollars for your YouTube channel. With all the companies. Yeah.,"[50363, 4525, 345, 1053, 587, 4438, 257, 2997, 5054, 329, 534, 7444, 6518, 13, 2080, 477, 262, 2706, 13, 9425, 13, 50563]",0.0,-0.2287155751431926,1.695187165775401,0.14113189280033112
10,10,2620,30.2,33.2, What's different about the Squid Game video? What did you tap into?,"[50563, 1867, 338, 1180, 546, 262, 48799, 3776, 2008, 30, 1867, 750, 345, 9814, 656, 30, 50713]",0.0,-0.2287155751431926,1.695187165775401,0.14113189280033112
11,11,2620,33.2,38.7, I-I most spent like two million dollars on a video up to that point. That one we spent 4.2 million. That sky up there's not real.,"[50713, 314, 12, 40, 749, 3377, 588, 734, 1510, 5054, 319, 257, 2008, 510, 284, 326, 966, 13, 1320, 530, 356, 3377, 604, 13, 17, 1510, 13, 1320, 6766, 510, 612, 338, 407, 1103, 13, 50988]",0.0,-0.2287155751431926,1.695187165775401,0.14113189280033112
12,12,2620,38.7,39.7, Oh wow!,"[50988, 3966, 28796, 0, 51038]",0.0,-0.2287155751431926,1.695187165775401,0.14113189280033112
13,13,2620,39.7,41.2, Starting at the end of the blue is all CGI?,"[51038, 17962, 379, 262, 886, 286, 262, 4171, 318, 477, 36378, 30, 51113]",0.0,-0.2287155751431926,1.695187165775401,0.14113189280033112
14,14,2620,41.2,42.2," Yeah, all CGI.","[51113, 9425, 11, 477, 36378, 13, 51163]",0.0,-0.2287155751431926,1.695187165775401,0.14113189280033112
15,15,2620,42.2,45.2," And I swear to God, I thought this guy should be president. Is that something you thought about?","[51163, 843, 314, 21192, 284, 1793, 11, 314, 1807, 428, 3516, 815, 307, 1893, 13, 1148, 326, 1223, 345, 1807, 546, 30, 51313]",0.0,-0.2287155751431926,1.695187165775401,0.14113189280033112
16,16,2620,45.2,47.2," It is appealing. Yeah, when I'm like 40 or 50.","[51313, 632, 318, 16403, 13, 9425, 11, 618, 314, 1101, 588, 2319, 393, 2026, 13, 51413]",0.0,-0.2287155751431926,1.695187165775401,0.14113189280033112
17,17,2620,47.2,48.2, Really?,"[51413, 16123, 30, 51463]",0.0,-0.2287155751431926,1.695187165775401,0.14113189280033112
18,18,2620,48.2,52.2," If I was a billionaire and I just gave away all my money. I was like, I can't be bought. I just gave away every penny.","[51463, 1002, 314, 373, 257, 18828, 290, 314, 655, 2921, 1497, 477, 616, 1637, 13, 314, 373, 588, 11, 314, 460, 470, 307, 5839, 13, 314, 655, 2921, 1497, 790, 26369, 13, 51663]",0.0,-0.2287155751431926,1.695187165775401,0.14113189280033112
19,19,5220,52.2,56.2," Well, it literally is $0 for my bank account. But for me, I feel like that's a pretty good campaign thing.","[50363, 3894, 11, 340, 7360, 318, 720, 15, 329, 616, 3331, 1848, 13, 887, 329, 502, 11, 314, 1254, 588, 326, 338, 257, 2495, 922, 1923, 1517, 13, 50563]",0.0,-0.4084883378577356,1.7847682119205297,0.25924891233444214
20,20,5220,56.2,58.2, And then I just do what's best for people.,"[50563, 843, 788, 314, 655, 466, 644, 338, 1266, 329, 661, 13, 50663]",0.0,-0.4084883378577356,1.7847682119205297,0.25924891233444214
21,21,5220,58.2,59.2, I like this.,"[50663, 314, 588, 428, 13, 50713]",0.0,-0.4084883378577356,1.7847682119205297,0.25924891233444214
22,22,5220,59.2,60.2, Yeah.,"[50713, 9425, 13, 50763]",0.0,-0.4084883378577356,1.7847682119205297,0.25924891233444214
23,23,5220,60.2,64.2," We're checking out- Bro, you got 2.3. Look at you.","[50763, 775, 821, 10627, 503, 12, 2806, 11, 345, 1392, 362, 13, 18, 13, 6803, 379, 345, 13, 50963]",0.0,-0.4084883378577356,1.7847682119205297,0.25924891233444214
24,24,5220,64.2,65.2," Yo, son!","[50963, 25455, 11, 3367, 0, 51013]",0.0,-0.4084883378577356,1.7847682119205297,0.25924891233444214
25,25,5220,65.2,66.2, Ha ha ha!,"[51013, 9398, 387, 387, 0, 51063]",0.0,-0.4084883378577356,1.7847682119205297,0.25924891233444214
26,26,5220,66.2,69.2," This guy's crazy, bro. He's a good job.","[51063, 770, 3516, 338, 7165, 11, 1379, 13, 679, 338, 257, 922, 1693, 13, 51213]",0.0,-0.4084883378577356,1.7847682119205297,0.25924891233444214
27,27,5220,69.2,70.2, Yeah.,"[51213, 9425, 13, 51263]",0.0,-0.4084883378577356,1.7847682119205297,0.25924891233444214
28,28,5220,70.2,71.2, You're a rascal.,"[51263, 921, 821, 257, 374, 27747, 13, 51313]",0.0,-0.4084883378577356,1.7847682119205297,0.25924891233444214
29,29,5220,71.2,72.2, He's going a little rascal.,"[51313, 679, 338, 1016, 257, 1310, 374, 27747, 13, 51363]",0.0,-0.4084883378577356,1.7847682119205297,0.25924891233444214
30,30,5220,72.2,73.2, I can't go over.,"[51363, 314, 460, 470, 467, 625, 13, 51413]",0.0,-0.4084883378577356,1.7847682119205297,0.25924891233444214
31,31,5220,73.2,74.2, You know what?,"[51413, 921, 760, 644, 30, 51463]",0.0,-0.4084883378577356,1.7847682119205297,0.25924891233444214
32,32,5220,74.2,76.2, I'm really gonna give you my parents love you when you're younger.,"[51463, 314, 1101, 1107, 8066, 1577, 345, 616, 3397, 1842, 345, 618, 345, 821, 7099, 13, 51563]",0.0,-0.4084883378577356,1.7847682119205297,0.25924891233444214
33,33,5220,76.2,77.2, You're going to keep going.,"[51563, 921, 821, 1016, 284, 1394, 1016, 13, 51613]",0.0,-0.4084883378577356,1.7847682119205297,0.25924891233444214
34,34,5220,77.2,78.2, You're going to keep going.,"[51613, 921, 821, 1016, 284, 1394, 1016, 13, 51663]",0.0,-0.4084883378577356,1.7847682119205297,0.25924891233444214
35,35,5220,78.2,79.2, You're going to keep going.,"[51663, 921, 821, 1016, 284, 1394, 1016, 13, 51713]",0.0,-0.4084883378577356,1.7847682119205297,0.25924891233444214
36,36,5220,79.2,80.2, You know.,"[51713, 921, 760, 13, 51763]",0.0,-0.4084883378577356,1.7847682119205297,0.25924891233444214
37,37,5220,80.2,81.2, No one's an elf.,"[51763, 1400, 530, 338, 281, 23878, 13, 51813]",0.0,-0.4084883378577356,1.7847682119205297,0.25924891233444214
38,38,8120,81.2,82.2, He's an elf?,"[50363, 679, 338, 281, 23878, 30, 50413]",0.0,-0.3037564151258354,1.5454545454545454,0.00932951457798481
39,39,8120,82.2,83.2, No.,"[50413, 1400, 13, 50463]",0.0,-0.3037564151258354,1.5454545454545454,0.00932951457798481
40,40,8120,83.2,84.2, You're a maid by then.,"[50463, 921, 821, 257, 25920, 416, 788, 13, 50513]",0.0,-0.3037564151258354,1.5454545454545454,0.00932951457798481
