,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0,0.0,6.72," Listen, when it comes to romantic relationships, if it's not a hundred percent in you, it ain't happening.","[50363, 20600, 11, 618, 340, 2058, 284, 14348, 6958, 11, 611, 340, 338, 407, 257, 3470, 1411, 287, 345, 11, 340, 18959, 470, 5836, 13, 50699]",0.0,-0.24673607152536375,1.6597510373443984,0.03191123530268669
1,1,0,7.36,14.36," And I've never seen a violation of that statement where it's like, yeah, it's mostly good.","[50731, 843, 314, 1053, 1239, 1775, 257, 8747, 286, 326, 2643, 810, 340, 338, 588, 11, 10194, 11, 340, 338, 4632, 922, 13, 51081]",0.0,-0.24673607152536375,1.6597510373443984,0.03191123530268669
2,2,0,14.36,19.400000000000002, And there this is like the negotiations already are doomed.,"[51081, 843, 612, 428, 318, 588, 262, 9825, 1541, 389, 24312, 13, 51333]",0.0,-0.24673607152536375,1.6597510373443984,0.03191123530268669
3,3,0,19.400000000000002,20.8, And that doesn't mean someone has to be perfect.,"[51333, 843, 326, 1595, 470, 1612, 2130, 468, 284, 307, 2818, 13, 51403]",0.0,-0.24673607152536375,1.6597510373443984,0.03191123530268669
4,4,0,20.8,24.8," The relationship has to be perfect, but it's got to feel 100% inside.","[51403, 383, 2776, 468, 284, 307, 2818, 11, 475, 340, 338, 1392, 284, 1254, 1802, 4, 2641, 13, 51603]",0.0,-0.24673607152536375,1.6597510373443984,0.03191123530268669
5,5,0,24.8,25.92," Like yes, yes.","[51603, 4525, 3763, 11, 3763, 13, 51659]",0.0,-0.24673607152536375,1.6597510373443984,0.03191123530268669
6,6,0,26.12,27.28, And yes.,"[51669, 843, 3763, 13, 51727]",0.0,-0.24673607152536375,1.6597510373443984,0.03191123530268669
7,7,2728,27.28,35.480000000000004," The following is a conversation with my dear friend Andrew Heberman, his fourth time on this podcast.","[50363, 383, 1708, 318, 257, 5273, 351, 616, 13674, 1545, 6858, 679, 527, 805, 11, 465, 5544, 640, 319, 428, 9905, 13, 50773]",0.0,-0.25078526982721294,1.6088560885608856,0.059903498739004135
8,8,2728,35.480000000000004,36.64, It's my birthday.,"[50773, 632, 338, 616, 10955, 13, 50831]",0.0,-0.25078526982721294,1.6088560885608856,0.059903498739004135
9,9,2728,36.64,39.68, So this is a special birthday episode of sorts.,"[50831, 1406, 428, 318, 257, 2041, 10955, 4471, 286, 10524, 13, 50983]",0.0,-0.25078526982721294,1.6088560885608856,0.059903498739004135
