,id,seek,start,end,text,tokens,temperature,avg_logprob,compression_ratio,no_speech_prob
0,0,0,0.0,3.2, The great light we tell ourselves is that people who are evil are not like us.,"[50363, 383, 1049, 1657, 356, 1560, 6731, 318, 326, 661, 508, 389, 6181, 389, 407, 588, 514, 13, 50523]",0.0,-0.17016810462588355,1.6752873563218391,0.012411333620548248
1,1,0,3.2,4.48, They're a class apart.,"[50523, 1119, 821, 257, 1398, 5475, 13, 50587]",0.0,-0.17016810462588355,1.6752873563218391,0.012411333620548248
2,2,0,4.48,8.08, Everybody in history who has sinned is a person who's very different from me.,"[50587, 23080, 287, 2106, 508, 468, 7813, 2817, 318, 257, 1048, 508, 338, 845, 1180, 422, 502, 13, 50767]",0.0,-0.17016810462588355,1.6752873563218391,0.012411333620548248
3,3,0,8.08,12.96," Robert George, the philosopher over at Princeton, he's fond of doing a thought experiment in his","[50767, 5199, 4502, 11, 262, 23723, 625, 379, 23173, 11, 339, 338, 16245, 286, 1804, 257, 1807, 6306, 287, 465, 51011]",0.0,-0.17016810462588355,1.6752873563218391,0.012411333620548248
4,4,0,12.96,17.6, classes where he asks people to raise their hand if they had lived in Alabama in 1861.,"[51011, 6097, 810, 339, 7893, 661, 284, 5298, 511, 1021, 611, 484, 550, 5615, 287, 9266, 287, 45278, 13, 51243]",0.0,-0.17016810462588355,1.6752873563218391,0.012411333620548248
5,5,0,17.6,19.36, How many of you would be abolitionists?,"[51243, 1374, 867, 286, 345, 561, 307, 30480, 1023, 30, 51331]",0.0,-0.17016810462588355,1.6752873563218391,0.012411333620548248
6,6,0,19.36,20.64, And everybody raises their hand.,"[51331, 843, 7288, 12073, 511, 1021, 13, 51395]",0.0,-0.17016810462588355,1.6752873563218391,0.012411333620548248
7,7,0,20.64,21.68," He says, of course, that's not true.","[51395, 679, 1139, 11, 286, 1781, 11, 326, 338, 407, 2081, 13, 51447]",0.0,-0.17016810462588355,1.6752873563218391,0.012411333620548248
8,8,0,22.48,23.36," Of course, that's not true.","[51487, 3226, 1781, 11, 326, 338, 407, 2081, 13, 51531]",0.0,-0.17016810462588355,1.6752873563218391,0.012411333620548248
9,9,0,24.48,29.36, The best protection against evil is recognizing that it lies in every human heart,"[51587, 383, 1266, 4800, 1028, 6181, 318, 22650, 326, 340, 7363, 287, 790, 1692, 2612, 51831]",0.0,-0.17016810462588355,1.6752873563218391,0.012411333620548248
